,file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu,overall_mem
0,0,10.0.0.50,5202,1073741824,4,628.34 Mb,104857600.0,1.335053,64.41110000000023,0.927999999999994
1,1,10.0.0.50,5202,1073741824,4,1132.68 Mb,104857600.0,0.740599,63.59659090909092,0.9454545454545453
2,2,10.0.0.50,5202,1073741824,4,957.21 Mb,104857600.0,0.876359,68.02500000000006,0.913636363636363
3,3,10.0.0.50,5202,1073741824,4,605.93 Mb,104857600.0,1.384424,61.39545454545457,0.9568181818181819
4,4,10.0.0.50,5202,1073741824,4,1206.80 Mb,104857600.0,0.69511,71.10227272727273,0.8886363636363633
5,5,10.0.0.50,5202,1073741824,4,605.61 Mb,104857600.0,1.385154,67.73181818181818,0.896590909090909
6,6,10.0.0.50,5202,1073741824,4,643.56 Mb,104857600.0,1.303472,60.780681818181826,0.9534090909090907
7,7,10.0.0.50,5202,1073741824,4,922.69 Mb,104857600.0,0.909151,68.63295454545457,0.911363636363636
8,8,10.0.0.50,5202,1073741824,4,671.86 Mb,104857600.0,1.248562,67.10795454545459,0.902272727272727
9,9,10.0.0.50,5202,1073741824,4,601.41 Mb,104857600.0,1.394818,64.24204545454548,0.9284090909090906
10,10,10.0.0.50,5202,1073741824,4,918.75 Mb,104857600.0,0.91305,65.30681818181823,0.9159090909090907
11,11,10.0.0.50,5202,1073741824,4,735.83 Mb,104857600.0,1.140023,65.59545454545456,0.914772727272727
12,12,10.0.0.50,5202,1073741824,4,621.30 Mb,104857600.0,1.350163,63.88522727272728,0.9352272727272726
13,13,10.0.0.50,5202,1073741824,4,909.07 Mb,104857600.0,0.922768,71.56818181818181,0.9011363636363633
14,14,10.0.0.50,5202,1073741824,4,941.56 Mb,104857600.0,0.890924,67.12159090909093,0.913636363636363
15,15,10.0.0.50,5202,1073741824,4,606.05 Mb,104857600.0,1.384154,64.9886363636364,0.9193181818181814
16,16,10.0.0.50,5202,1073741824,4,637.19 Mb,104857600.0,1.316509,62.52386363636368,0.9352272727272717
17,17,10.0.0.50,5202,1073741824,4,600.72 Mb,104857600.0,1.396426,58.78409090909094,0.9840909090909087
18,18,10.0.0.50,5202,1073741824,4,671.63 Mb,104857600.0,1.248992,58.81704545454543,1.0068181818181816
