
file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu
0,10.0.0.50,5201,1073741824,4,762.18 Mb,10485760.0,0.110061,
1,10.0.0.50,5202,1073741824,4,938.53 Mb,10485760.0,0.089380,
1,10.0.0.50,5201,1073741824,4,948.92 Mb,10485760.0,0.088402,
2,10.0.0.50,5202,1073741824,4,508.69 Mb,10485760.0,0.164906,
2,10.0.0.50,5201,1073741824,4,604.25 Mb,10485760.0,0.138826,
3,10.0.0.50,5201,1073741824,4,691.44 Mb,10485760.0,0.121320,
3,10.0.0.50,5202,1073741824,4,691.72 Mb,10485760.0,0.121271,
4,10.0.0.50,5202,1073741824,4,815.96 Mb,10485760.0,0.102806,
4,10.0.0.50,5201,1073741824,4,806.88 Mb,10485760.0,0.103963,
5,10.0.0.50,5202,1073741824,4,786.19 Mb,10485760.0,0.106700,
5,10.0.0.50,5201,1073741824,4,780.91 Mb,10485760.0,0.107421,
6,10.0.0.50,5202,1073741824,4,595.86 Mb,10485760.0,0.140781,
6,10.0.0.50,5201,1073741824,4,592.64 Mb,10485760.0,0.141547,
7,10.0.0.50,5202,1073741824,4,834.39 Mb,10485760.0,0.100536,
7,10.0.0.50,5201,1073741824,4,835.07 Mb,10485760.0,0.100454,
8,10.0.0.50,5202,1073741824,4,558.79 Mb,10485760.0,0.150121,
8,10.0.0.50,5201,1073741824,4,545.69 Mb,10485760.0,0.153725,
9,10.0.0.50,5202,1073741824,4,520.77 Mb,10485760.0,0.161082,
9,10.0.0.50,5201,1073741824,4,605.07 Mb,10485760.0,0.138639,
10,10.0.0.50,5202,1073741824,4,608.02 Mb,10485760.0,0.137966,
10,10.0.0.50,5201,1073741824,4,607.93 Mb,10485760.0,0.137987,
11,10.0.0.50,5202,1073741824,4,542.77 Mb,10485760.0,0.154552,
11,10.0.0.50,5201,1073741824,4,542.58 Mb,10485760.0,0.154606,
12,10.0.0.50,5202,1073741824,4,791.98 Mb,10485760.0,0.105919,
12,10.0.0.50,5201,1073741824,4,791.04 Mb,10485760.0,0.106045,
13,10.0.0.50,5202,1073741824,4,739.77 Mb,10485760.0,0.113395,
13,10.0.0.50,5201,1073741824,4,748.54 Mb,10485760.0,0.112066,
14,10.0.0.50,5202,1073741824,4,605.33 Mb,10485760.0,0.138578,
14,10.0.0.50,5201,1073741824,4,604.38 Mb,10485760.0,0.138796,
15,10.0.0.50,5202,1073741824,4,651.06 Mb,10485760.0,0.128846,
15,10.0.0.50,5201,1073741824,4,658.23 Mb,10485760.0,0.127441,
16,10.0.0.50,5202,1073741824,4,573.15 Mb,10485760.0,0.146360,
16,10.0.0.50,5201,1073741824,4,573.03 Mb,10485760.0,0.146390,
17,10.0.0.50,5202,1073741824,4,583.46 Mb,10485760.0,0.143774,
17,10.0.0.50,5201,1073741824,4,581.59 Mb,10485760.0,0.144236,
18,10.0.0.50,5202,1073741824,4,554.12 Mb,10485760.0,0.151387,
18,10.0.0.50,5201,1073741824,4,553.23 Mb,10485760.0,0.151631,
19,10.0.0.50,5202,1073741824,4,756.02 Mb,10485760.0,0.110958,
20,10.0.0.50,5202,1073741824,4,591.73 Mb,10485760.0,0.141764,
19,10.0.0.50,5201,1073741824,4,750.83 Mb,10485760.0,0.111725,
21,10.0.0.50,5202,1073741824,4,769.92 Mb,10485760.0,0.108954,
20,10.0.0.50,5201,1073741824,4,591.35 Mb,10485760.0,0.141855,
22,10.0.0.50,5202,1073741824,4,697.31 Mb,10485760.0,0.120300,
21,10.0.0.50,5201,1073741824,4,771.10 Mb,10485760.0,0.108788,
23,10.0.0.50,5202,1073741824,4,666.63 Mb,10485760.0,0.125836,
22,10.0.0.50,5201,1073741824,4,674.74 Mb,10485760.0,0.124324,
24,10.0.0.50,5202,1073741824,4,870.13 Mb,10485760.0,0.096406,
23,10.0.0.50,5201,1073741824,4,668.40 Mb,10485760.0,0.125503,
25,10.0.0.50,5202,1073741824,4,587.26 Mb,10485760.0,0.142844,
24,10.0.0.50,5201,1073741824,4,899.62 Mb,10485760.0,0.093246,
26,10.0.0.50,5202,1073741824,4,661.41 Mb,10485760.0,0.126829,
25,10.0.0.50,5201,1073741824,4,589.08 Mb,10485760.0,0.142403,
27,10.0.0.50,5202,1073741824,4,1313.10 Mb,10485760.0,0.063884,
26,10.0.0.50,5201,1073741824,4,661.73 Mb,10485760.0,0.126767,
28,10.0.0.50,5202,1073741824,4,663.25 Mb,10485760.0,0.126478,
27,10.0.0.50,5201,1073741824,4,1316.79 Mb,10485760.0,0.063705,
29,10.0.0.50,5202,1073741824,4,630.96 Mb,10485760.0,0.132950,
28,10.0.0.50,5201,1073741824,4,666.99 Mb,10485760.0,0.125769,
30,10.0.0.50,5202,1073741824,4,791.28 Mb,10485760.0,0.106013,
