file_number,host_ip,host_port,slab_buf_bytes,slab_partition,bandwidth,file_size_bytes,time_taken_sec,overall_cpu
0,10.0.0.50,5202,1073741824,4,34.56 Gb,1073741824.0,0.248558,
1,10.0.0.50,5202,1073741824,4,34.54 Gb,1073741824.0,0.248713,
2,10.0.0.50,5202,1073741824,4,34.95 Gb,1073741824.0,0.245784,
3,10.0.0.50,5202,1073741824,4,33.46 Gb,1073741824.0,0.256729,
4,10.0.0.50,5202,1073741824,4,31.05 Gb,1073741824.0,0.276656,
5,10.0.0.50,5202,1073741824,4,35.03 Gb,1073741824.0,0.245225,
6,10.0.0.50,5202,1073741824,4,34.61 Gb,1073741824.0,0.248226,
7,10.0.0.50,5202,1073741824,4,34.35 Gb,1073741824.0,0.250051,
8,10.0.0.50,5202,1073741824,4,34.87 Gb,1073741824.0,0.246335,
9,10.0.0.50,5202,1073741824,4,34.84 Gb,1073741824.0,0.246582,
10,10.0.0.50,5202,1073741824,4,34.53 Gb,1073741824.0,0.248743,
11,10.0.0.50,5202,1073741824,4,34.20 Gb,1073741824.0,0.251189,
12,10.0.0.50,5202,1073741824,4,34.44 Gb,1073741824.0,0.249392,
13,10.0.0.50,5202,1073741824,4,34.89 Gb,1073741824.0,0.246215,
14,10.0.0.50,5202,1073741824,4,35.02 Gb,1073741824.0,0.245259,
15,10.0.0.50,5202,1073741824,4,34.28 Gb,1073741824.0,0.250552,
16,10.0.0.50,5202,1073741824,4,35.08 Gb,1073741824.0,0.244867,
17,10.0.0.50,5202,1073741824,4,34.17 Gb,1073741824.0,0.251385,
18,10.0.0.50,5202,1073741824,4,34.68 Gb,1073741824.0,0.247696,
19,10.0.0.50,5202,1073741824,4,34.91 Gb,1073741824.0,0.246063,
20,10.0.0.50,5202,1073741824,4,34.63 Gb,1073741824.0,0.248054,
21,10.0.0.50,5202,1073741824,4,34.83 Gb,1073741824.0,0.246616,
22,10.0.0.50,5202,1073741824,4,34.53 Gb,1073741824.0,0.248784,
23,10.0.0.50,5202,1073741824,4,34.54 Gb,1073741824.0,0.248726,
24,10.0.0.50,5202,1073741824,4,34.38 Gb,1073741824.0,0.249878,
25,10.0.0.50,5202,1073741824,4,34.78 Gb,1073741824.0,0.247005,
26,10.0.0.50,5202,1073741824,4,34.70 Gb,1073741824.0,0.247568,
27,10.0.0.50,5202,1073741824,4,34.73 Gb,1073741824.0,0.247326,
28,10.0.0.50,5202,1073741824,4,34.90 Gb,1073741824.0,0.246136,
29,10.0.0.50,5202,1073741824,4,34.76 Gb,1073741824.0,0.247106,
30,10.0.0.50,5202,1073741824,4,35.06 Gb,1073741824.0,0.245027,
31,10.0.0.50,5202,1073741824,4,34.74 Gb,1073741824.0,0.247263,
32,10.0.0.50,5202,1073741824,4,34.50 Gb,1073741824.0,0.248995,
33,10.0.0.50,5202,1073741824,4,34.75 Gb,1073741824.0,0.247166,
34,10.0.0.50,5202,1073741824,4,33.43 Gb,1073741824.0,0.256917,
35,10.0.0.50,5202,1073741824,4,33.59 Gb,1073741824.0,0.255719,
36,10.0.0.50,5202,1073741824,4,34.68 Gb,1073741824.0,0.247692,
37,10.0.0.50,5202,1073741824,4,34.46 Gb,1073741824.0,0.249280,
38,10.0.0.50,5202,1073741824,4,34.59 Gb,1073741824.0,0.248368,
39,10.0.0.50,5202,1073741824,4,34.33 Gb,1073741824.0,0.250241,
40,10.0.0.50,5202,1073741824,4,34.75 Gb,1073741824.0,0.247160,
41,10.0.0.50,5202,1073741824,4,34.80 Gb,1073741824.0,0.246851,
42,10.0.0.50,5202,1073741824,4,34.79 Gb,1073741824.0,0.246936,
43,10.0.0.50,5202,1073741824,4,34.50 Gb,1073741824.0,0.248996,
44,10.0.0.50,5202,1073741824,4,35.08 Gb,1073741824.0,0.244833,
45,10.0.0.50,5202,1073741824,4,34.58 Gb,1073741824.0,0.248399,
46,10.0.0.50,5202,1073741824,4,35.19 Gb,1073741824.0,0.244126,
47,10.0.0.50,5202,1073741824,4,34.45 Gb,1073741824.0,0.249371,
48,10.0.0.50,5202,1073741824,4,34.40 Gb,1073741824.0,0.249698,
49,10.0.0.50,5202,1073741824,4,34.38 Gb,1073741824.0,0.249869,
50,10.0.0.50,5202,1073741824,4,33.85 Gb,1073741824.0,0.253799,
51,10.0.0.50,5202,1073741824,4,32.89 Gb,1073741824.0,0.261202,
52,10.0.0.50,5202,1073741824,4,33.43 Gb,1073741824.0,0.256954,
53,10.0.0.50,5202,1073741824,4,34.46 Gb,1073741824.0,0.249294,
54,10.0.0.50,5202,1073741824,4,34.84 Gb,1073741824.0,0.246540,
55,10.0.0.50,5202,1073741824,4,32.67 Gb,1073741824.0,0.262897,
56,10.0.0.50,5202,1073741824,4,34.96 Gb,1073741824.0,0.245674,
57,10.0.0.50,5202,1073741824,4,34.83 Gb,1073741824.0,0.246631,
58,10.0.0.50,5202,1073741824,4,34.72 Gb,1073741824.0,0.247381,
59,10.0.0.50,5202,1073741824,4,34.60 Gb,1073741824.0,0.248248,
60,10.0.0.50,5202,1073741824,4,34.44 Gb,1073741824.0,0.249436,
61,10.0.0.50,5202,1073741824,4,34.60 Gb,1073741824.0,0.248264,
62,10.0.0.50,5202,1073741824,4,34.73 Gb,1073741824.0,0.247369,
63,10.0.0.50,5202,1073741824,4,34.96 Gb,1073741824.0,0.245686,
64,10.0.0.50,5202,1073741824,4,34.85 Gb,1073741824.0,0.246482,
65,10.0.0.50,5202,1073741824,4,34.32 Gb,1073741824.0,0.250262,
66,10.0.0.50,5202,1073741824,4,34.47 Gb,1073741824.0,0.249208,
67,10.0.0.50,5202,1073741824,4,34.72 Gb,1073741824.0,0.247379,
68,10.0.0.50,5202,1073741824,4,34.27 Gb,1073741824.0,0.250629,
69,10.0.0.50,5202,1073741824,4,34.45 Gb,1073741824.0,0.249325,
70,10.0.0.50,5202,1073741824,4,34.45 Gb,1073741824.0,0.249322,
71,10.0.0.50,5202,1073741824,4,34.03 Gb,1073741824.0,0.252423,
72,10.0.0.50,5202,1073741824,4,34.11 Gb,1073741824.0,0.251820,
73,10.0.0.50,5202,1073741824,4,34.37 Gb,1073741824.0,0.249898,
74,10.0.0.50,5202,1073741824,4,34.15 Gb,1073741824.0,0.251534,
75,10.0.0.50,5202,1073741824,4,34.19 Gb,1073741824.0,0.251250,
76,10.0.0.50,5202,1073741824,4,34.35 Gb,1073741824.0,0.250102,
77,10.0.0.50,5202,1073741824,4,34.20 Gb,1073741824.0,0.251158,
78,10.0.0.50,5202,1073741824,4,34.68 Gb,1073741824.0,0.247675,
79,10.0.0.50,5202,1073741824,4,34.10 Gb,1073741824.0,0.251894,
80,10.0.0.50,5202,1073741824,4,34.26 Gb,1073741824.0,0.250753,
81,10.0.0.50,5202,1073741824,4,33.99 Gb,1073741824.0,0.252710,
82,10.0.0.50,5202,1073741824,4,33.32 Gb,1073741824.0,0.257838,
83,10.0.0.50,5202,1073741824,4,34.08 Gb,1073741824.0,0.252019,
84,10.0.0.50,5202,1073741824,4,34.13 Gb,1073741824.0,0.251713,
85,10.0.0.50,5202,1073741824,4,33.98 Gb,1073741824.0,0.252784,
86,10.0.0.50,5202,1073741824,4,34.28 Gb,1073741824.0,0.250606,
87,10.0.0.50,5202,1073741824,4,33.99 Gb,1073741824.0,0.252698,
88,10.0.0.50,5202,1073741824,4,33.82 Gb,1073741824.0,0.254025,
89,10.0.0.50,5202,1073741824,4,34.22 Gb,1073741824.0,0.251000,
90,10.0.0.50,5202,1073741824,4,33.79 Gb,1073741824.0,0.254245,
91,10.0.0.50,5202,1073741824,4,33.98 Gb,1073741824.0,0.252812,
92,10.0.0.50,5202,1073741824,4,34.59 Gb,1073741824.0,0.248325,
